Consulta_por,n_pacientes,Comuna,Mes,Año
SINDROME BRONQUIAL OBSTRUCTIVO,53,Huechuraba,enero,2017
NEUMONÍA,52,Huechuraba,enero,2017
ASMA,23,Huechuraba,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Huechuraba,enero,2017
OTRAS RESPIRATORIAS,94,Huechuraba,enero,2017
IRA ALTA,231,Independencia,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,35,Independencia,enero,2017
NEUMONÍA,8,Independencia,enero,2017
ASMA,10,Independencia,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,6,Independencia,enero,2017
OTRAS RESPIRATORIAS,191,Independencia,enero,2017
IRA ALTA,133,La Cisterna,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,48,La Cisterna,enero,2017
NEUMONÍA,19,La Cisterna,enero,2017
ASMA,82,La Cisterna,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,57,La Cisterna,enero,2017
OTRAS RESPIRATORIAS,30,La Cisterna,enero,2017
IRA ALTA,1.919,La Florida,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,112,La Florida,enero,2017
NEUMONÍA,173,La Florida,enero,2017
ASMA,92,La Florida,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,43,La Florida,enero,2017
OTRAS RESPIRATORIAS,475,La Florida,enero,2017
IRA ALTA,445,La Granja,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,54,La Granja,enero,2017
NEUMONÍA,50,La Granja,enero,2017
ASMA,63,La Granja,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,51,La Granja,enero,2017
OTRAS RESPIRATORIAS,253,La Granja,enero,2017
IRA ALTA,649,La Pintana,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,211,La Pintana,enero,2017
NEUMONÍA,120,La Pintana,enero,2017
ASMA,60,La Pintana,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,32,La Pintana,enero,2017
OTRAS RESPIRATORIAS,247,La Pintana,enero,2017
IRA ALTA,45,La Reina,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,2,La Reina,enero,2017
NEUMONÍA,0,La Reina,enero,2017
ASMA,0,La Reina,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,La Reina,enero,2017
OTRAS RESPIRATORIAS,128,La Reina,enero,2017
IRA ALTA,229,Las Condes,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,31,Las Condes,enero,2017
NEUMONÍA,36,Las Condes,enero,2017
ASMA,34,Las Condes,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Las Condes,enero,2017
OTRAS RESPIRATORIAS,125,Las Condes,enero,2017
IRA ALTA,163,Lo Barnechea,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,59,Lo Barnechea,enero,2017
NEUMONÍA,34,Lo Barnechea,enero,2017
ASMA,10,Lo Barnechea,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,Lo Barnechea,enero,2017
OTRAS RESPIRATORIAS,17,Lo Barnechea,enero,2017
IRA ALTA,137,Lo Espejo,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,50,Lo Espejo,enero,2017
NEUMONÍA,22,Lo Espejo,enero,2017
ASMA,29,Lo Espejo,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,11,Lo Espejo,enero,2017
OTRAS RESPIRATORIAS,60,Lo Espejo,enero,2017
IRA ALTA,586,Lo Prado,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,42,Lo Prado,enero,2017
NEUMONÍA,78,Lo Prado,enero,2017
ASMA,14,Lo Prado,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,12,Lo Prado,enero,2017
OTRAS RESPIRATORIAS,284,Lo Prado,enero,2017
IRA ALTA,118,Macul,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,31,Macul,enero,2017
NEUMONÍA,10,Macul,enero,2017
ASMA,67,Macul,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,34,Macul,enero,2017
OTRAS RESPIRATORIAS,139,Macul,enero,2017
IRA ALTA,553,Maipú,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,147,Maipú,enero,2017
NEUMONÍA,37,Maipú,enero,2017
ASMA,122,Maipú,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,42,Maipú,enero,2017
OTRAS RESPIRATORIAS,550,Maipú,enero,2017
IRA ALTA,132,Ñuñoa,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,12,Ñuñoa,enero,2017
NEUMONÍA,27,Ñuñoa,enero,2017
ASMA,34,Ñuñoa,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,16,Ñuñoa,enero,2017
OTRAS RESPIRATORIAS,133,Ñuñoa,enero,2017
IRA ALTA,151,Pedro Aguirre Cerda,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,51,Pedro Aguirre Cerda,enero,2017
NEUMONÍA,52,Pedro Aguirre Cerda,enero,2017
ASMA,21,Pedro Aguirre Cerda,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Pedro Aguirre Cerda,enero,2017
OTRAS RESPIRATORIAS,121,Pedro Aguirre Cerda,enero,2017
IRA ALTA,1.456,Peñalolén,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,609,Peñalolén,enero,2017
NEUMONÍA,174,Peñalolén,enero,2017
ASMA,401,Peñalolén,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,165,Peñalolén,enero,2017
OTRAS RESPIRATORIAS,479,Peñalolén,enero,2017
IRA ALTA,6,Providencia,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,0,Providencia,enero,2017
NEUMONÍA,1,Providencia,enero,2017
ASMA,6,Providencia,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Providencia,enero,2017
OTRAS RESPIRATORIAS,72,Providencia,enero,2017
IRA ALTA,598,Pudahuel,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,229,Pudahuel,enero,2017
NEUMONÍA,82,Pudahuel,enero,2017
ASMA,20,Pudahuel,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Pudahuel,enero,2017
OTRAS RESPIRATORIAS,350,Pudahuel,enero,2017
IRA ALTA,1.139,Quilicura,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,186,Quilicura,enero,2017
NEUMONÍA,58,Quilicura,enero,2017
ASMA,93,Quilicura,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,47,Quilicura,enero,2017
OTRAS RESPIRATORIAS,162,Quilicura,enero,2017
IRA ALTA,215,Quinta Normal,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,39,Quinta Normal,enero,2017
NEUMONÍA,48,Quinta Normal,enero,2017
ASMA,13,Quinta Normal,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,8,Quinta Normal,enero,2017
OTRAS RESPIRATORIAS,172,Quinta Normal,enero,2017
IRA ALTA,372,Recoleta,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,75,Recoleta,enero,2017
NEUMONÍA,42,Recoleta,enero,2017
ASMA,61,Recoleta,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,38,Recoleta,enero,2017
OTRAS RESPIRATORIAS,156,Recoleta,enero,2017
IRA ALTA,897,Renca,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,52,Renca,enero,2017
NEUMONÍA,22,Renca,enero,2017
ASMA,12,Renca,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,26,Renca,enero,2017
OTRAS RESPIRATORIAS,202,Renca,enero,2017
IRA ALTA,308,San Joaquín,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,54,San Joaquín,enero,2017
NEUMONÍA,53,San Joaquín,enero,2017
ASMA,36,San Joaquín,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,35,San Joaquín,enero,2017
OTRAS RESPIRATORIAS,178,San Joaquín,enero,2017
IRA ALTA,0,San Miguel,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,1,San Miguel,enero,2017
NEUMONÍA,5,San Miguel,enero,2017
ASMA,27,San Miguel,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,San Miguel,enero,2017
OTRAS RESPIRATORIAS,78,San Miguel,enero,2017
IRA ALTA,125,San Ramón,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,41,San Ramón,enero,2017
NEUMONÍA,41,San Ramón,enero,2017
ASMA,10,San Ramón,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,25,San Ramón,enero,2017
OTRAS RESPIRATORIAS,96,San Ramón,enero,2017
IRA ALTA,4,Vitacura,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,0,Vitacura,enero,2017
NEUMONÍA,1,Vitacura,enero,2017
ASMA,0,Vitacura,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,Vitacura,enero,2017
OTRAS RESPIRATORIAS,5,Vitacura,enero,2017
IRA ALTA,1.588,Puente Alto,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,691,Puente Alto,enero,2017
NEUMONÍA,263,Puente Alto,enero,2017
ASMA,221,Puente Alto,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,72,Puente Alto,enero,2017
OTRAS RESPIRATORIAS,1.010,Puente Alto,enero,2017
IRA ALTA,156,Pirque,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,2,Pirque,enero,2017
NEUMONÍA,3,Pirque,enero,2017
ASMA,1,Pirque,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Pirque,enero,2017
OTRAS RESPIRATORIAS,28,Pirque,enero,2017
IRA ALTA,14,San José De Maipo,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,8,San José De Maipo,enero,2017
NEUMONÍA,5,San José De Maipo,enero,2017
ASMA,6,San José De Maipo,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,San José De Maipo,enero,2017
OTRAS RESPIRATORIAS,19,San José De Maipo,enero,2017
IRA ALTA,472,Colina,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,53,Colina,enero,2017
NEUMONÍA,23,Colina,enero,2017
ASMA,8,Colina,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Colina,enero,2017
OTRAS RESPIRATORIAS,43,Colina,enero,2017
IRA ALTA,282,Lampa,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,47,Lampa,enero,2017
NEUMONÍA,17,Lampa,enero,2017
ASMA,31,Lampa,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,Lampa,enero,2017
OTRAS RESPIRATORIAS,793,Lampa,enero,2017
IRA ALTA,93,Tiltil,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,6,Tiltil,enero,2017
NEUMONÍA,10,Tiltil,enero,2017
ASMA,5,Tiltil,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,Tiltil,enero,2017
OTRAS RESPIRATORIAS,3,Tiltil,enero,2017
IRA ALTA,924,San Bernardo,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,250,San Bernardo,enero,2017
NEUMONÍA,154,San Bernardo,enero,2017
ASMA,43,San Bernardo,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,57,San Bernardo,enero,2017
OTRAS RESPIRATORIAS,399,San Bernardo,enero,2017
IRA ALTA,256,Buin,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,54,Buin,enero,2017
NEUMONÍA,44,Buin,enero,2017
ASMA,24,Buin,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,15,Buin,enero,2017
OTRAS RESPIRATORIAS,101,Buin,enero,2017
IRA ALTA,133,Calera De Tango,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,9,Calera De Tango,enero,2017
NEUMONÍA,7,Calera De Tango,enero,2017
ASMA,12,Calera De Tango,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Calera De Tango,enero,2017
OTRAS RESPIRATORIAS,29,Calera De Tango,enero,2017
IRA ALTA,308,Paine,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,27,Paine,enero,2017
NEUMONÍA,24,Paine,enero,2017
ASMA,10,Paine,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Paine,enero,2017
OTRAS RESPIRATORIAS,116,Paine,enero,2017
IRA ALTA,536,Melipilla,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,89,Melipilla,enero,2017
NEUMONÍA,53,Melipilla,enero,2017
ASMA,46,Melipilla,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,11,Melipilla,enero,2017
OTRAS RESPIRATORIAS,89,Melipilla,enero,2017
IRA ALTA,17,Alhué,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,2,Alhué,enero,2017
NEUMONÍA,2,Alhué,enero,2017
ASMA,7,Alhué,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Alhué,enero,2017
OTRAS RESPIRATORIAS,5,Alhué,enero,2017
IRA ALTA,0,Curacaví,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,0,Curacaví,enero,2017
NEUMONÍA,0,Curacaví,enero,2017
ASMA,0,Curacaví,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Curacaví,enero,2017
OTRAS RESPIRATORIAS,0,Curacaví,enero,2017
IRA ALTA,73,María Pinto,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,9,María Pinto,enero,2017
NEUMONÍA,23,María Pinto,enero,2017
ASMA,29,María Pinto,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,8,María Pinto,enero,2017
OTRAS RESPIRATORIAS,15,María Pinto,enero,2017
IRA ALTA,0,San Pedro,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,1,San Pedro,enero,2017
NEUMONÍA,0,San Pedro,enero,2017
ASMA,14,San Pedro,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,San Pedro,enero,2017
OTRAS RESPIRATORIAS,54,San Pedro,enero,2017
IRA ALTA,119,Talagante,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,3,Talagante,enero,2017
NEUMONÍA,5,Talagante,enero,2017
ASMA,3,Talagante,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Talagante,enero,2017
OTRAS RESPIRATORIAS,62,Talagante,enero,2017
IRA ALTA,28,El Monte,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,4,El Monte,enero,2017
NEUMONÍA,1,El Monte,enero,2017
ASMA,3,El Monte,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,El Monte,enero,2017
OTRAS RESPIRATORIAS,6,El Monte,enero,2017
IRA ALTA,70,Isla De Maipo,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,23,Isla De Maipo,enero,2017
NEUMONÍA,15,Isla De Maipo,enero,2017
ASMA,14,Isla De Maipo,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Isla De Maipo,enero,2017
OTRAS RESPIRATORIAS,41,Isla De Maipo,enero,2017
IRA ALTA,231,Padre Hurtado,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,19,Padre Hurtado,enero,2017
NEUMONÍA,5,Padre Hurtado,enero,2017
ASMA,2,Padre Hurtado,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,Padre Hurtado,enero,2017
OTRAS RESPIRATORIAS,94,Padre Hurtado,enero,2017
IRA ALTA,1.149,Peñaflor,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,71,Peñaflor,enero,2017
NEUMONÍA,8,Peñaflor,enero,2017
ASMA,16,Peñaflor,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,5,Peñaflor,enero,2017
OTRAS RESPIRATORIAS,131,Peñaflor,enero,2017
IRA ALTA,300,Santiago,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,44,Santiago,febrero,2017
NEUMONÍA,33,Santiago,febrero,2017
ASMA,20,Santiago,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,12,Santiago,febrero,2017
OTRAS RESPIRATORIAS,99,Santiago,febrero,2017
IRA ALTA,96,Cerrillos,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,20,Cerrillos,febrero,2017
NEUMONÍA,11,Cerrillos,febrero,2017
ASMA,6,Cerrillos,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Cerrillos,febrero,2017
OTRAS RESPIRATORIAS,65,Cerrillos,febrero,2017
IRA ALTA,146,Cerro Navia,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,25,Cerro Navia,febrero,2017
NEUMONÍA,11,Cerro Navia,febrero,2017
ASMA,21,Cerro Navia,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,16,Cerro Navia,febrero,2017
OTRAS RESPIRATORIAS,56,Cerro Navia,febrero,2017
IRA ALTA,410,Conchalí,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,58,Conchalí,febrero,2017
NEUMONÍA,37,Conchalí,febrero,2017
ASMA,80,Conchalí,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,19,Conchalí,febrero,2017
OTRAS RESPIRATORIAS,137,Conchalí,febrero,2017
IRA ALTA,1.315,El Bosque,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,92,El Bosque,febrero,2017
NEUMONÍA,35,El Bosque,febrero,2017
ASMA,51,El Bosque,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,55,El Bosque,febrero,2017
OTRAS RESPIRATORIAS,458,El Bosque,febrero,2017
IRA ALTA,103,Estación Central,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,28,Estación Central,febrero,2017
NEUMONÍA,8,Estación Central,febrero,2017
ASMA,2,Estación Central,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Estación Central,febrero,2017
OTRAS RESPIRATORIAS,84,Estación Central,febrero,2017
IRA ALTA,281,Huechuraba,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,52,Huechuraba,febrero,2017
NEUMONÍA,21,Huechuraba,febrero,2017
ASMA,26,Huechuraba,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,19,Huechuraba,febrero,2017
OTRAS RESPIRATORIAS,50,Huechuraba,febrero,2017
IRA ALTA,226,Independencia,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,31,Independencia,febrero,2017
NEUMONÍA,17,Independencia,febrero,2017
ASMA,57,Independencia,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,3,Independencia,febrero,2017
OTRAS RESPIRATORIAS,135,Independencia,febrero,2017
IRA ALTA,125,La Cisterna,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,62,La Cisterna,febrero,2017
NEUMONÍA,33,La Cisterna,febrero,2017
ASMA,63,La Cisterna,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,40,La Cisterna,febrero,2017
OTRAS RESPIRATORIAS,44,La Cisterna,febrero,2017
IRA ALTA,1.855,La Florida,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,98,La Florida,febrero,2017
NEUMONÍA,159,La Florida,febrero,2017
ASMA,65,La Florida,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,31,La Florida,febrero,2017
OTRAS RESPIRATORIAS,406,La Florida,febrero,2017
IRA ALTA,344,La Granja,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,41,La Granja,febrero,2017
NEUMONÍA,26,La Granja,febrero,2017
ASMA,50,La Granja,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,43,La Granja,febrero,2017
OTRAS RESPIRATORIAS,147,La Granja,febrero,2017
IRA ALTA,626,La Pintana,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,133,La Pintana,febrero,2017
NEUMONÍA,105,La Pintana,febrero,2017
ASMA,43,La Pintana,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,17,La Pintana,febrero,2017
OTRAS RESPIRATORIAS,189,La Pintana,febrero,2017
IRA ALTA,15,La Reina,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,0,La Reina,febrero,2017
NEUMONÍA,2,La Reina,febrero,2017
ASMA,0,La Reina,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,La Reina,febrero,2017
OTRAS RESPIRATORIAS,51,La Reina,febrero,2017
IRA ALTA,217,Las Condes,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,22,Las Condes,febrero,2017
NEUMONÍA,32,Las Condes,febrero,2017
ASMA,45,Las Condes,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,18,Las Condes,febrero,2017
OTRAS RESPIRATORIAS,75,Las Condes,febrero,2017
IRA ALTA,85,Lo Barnechea,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,36,Lo Barnechea,febrero,2017
NEUMONÍA,17,Lo Barnechea,febrero,2017
ASMA,20,Lo Barnechea,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Lo Barnechea,febrero,2017
OTRAS RESPIRATORIAS,8,Lo Barnechea,febrero,2017
IRA ALTA,145,Lo Espejo,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,75,Lo Espejo,febrero,2017
NEUMONÍA,31,Lo Espejo,febrero,2017
ASMA,47,Lo Espejo,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,13,Lo Espejo,febrero,2017
OTRAS RESPIRATORIAS,62,Lo Espejo,febrero,2017
IRA ALTA,379,Lo Prado,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,16,Lo Prado,febrero,2017
NEUMONÍA,38,Lo Prado,febrero,2017
ASMA,6,Lo Prado,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,5,Lo Prado,febrero,2017
OTRAS RESPIRATORIAS,198,Lo Prado,febrero,2017
IRA ALTA,160,Macul,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,55,Macul,febrero,2017
NEUMONÍA,18,Macul,febrero,2017
ASMA,59,Macul,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,33,Macul,febrero,2017
OTRAS RESPIRATORIAS,143,Macul,febrero,2017
IRA ALTA,435,Maipú,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,69,Maipú,febrero,2017
NEUMONÍA,26,Maipú,febrero,2017
ASMA,60,Maipú,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,35,Maipú,febrero,2017
OTRAS RESPIRATORIAS,264,Maipú,febrero,2017
IRA ALTA,109,Ñuñoa,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,9,Ñuñoa,febrero,2017
NEUMONÍA,27,Ñuñoa,febrero,2017
ASMA,19,Ñuñoa,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,16,Ñuñoa,febrero,2017
OTRAS RESPIRATORIAS,81,Ñuñoa,febrero,2017
IRA ALTA,143,Pedro Aguirre Cerda,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,35,Pedro Aguirre Cerda,febrero,2017
NEUMONÍA,33,Pedro Aguirre Cerda,febrero,2017
ASMA,19,Pedro Aguirre Cerda,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,15,Pedro Aguirre Cerda,febrero,2017
OTRAS RESPIRATORIAS,96,Pedro Aguirre Cerda,febrero,2017
IRA ALTA,1.364,Peñalolén,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,480,Peñalolén,febrero,2017
NEUMONÍA,143,Peñalolén,febrero,2017
ASMA,357,Peñalolén,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,157,Peñalolén,febrero,2017
OTRAS RESPIRATORIAS,323,Peñalolén,febrero,2017
IRA ALTA,27,Providencia,febrero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,0,Providencia,febrero,2017
NEUMONÍA,4,Providencia,febrero,2017
ASMA,12,Providencia,febrero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,5,Providencia,febrero,2017
OTRAS RESPIRATORIAS,31,Providencia,febrero,2017
IRA ALTA,374,Pudahuel,febrero,2017
