Consulta_por,n_pacientes,Comuna,Mes,Año
ASMA,22,Independencia,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,3,Independencia,enero,2018
OTRAS RESPIRATORIAS,176,Independencia,enero,2018
CARDIOVASCULAR,9,Independencia,enero,2018
IRA ALTA,159,La Cisterna,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,16,La Cisterna,enero,2018
NEUMONÍA,16,La Cisterna,enero,2018
ASMA,25,La Cisterna,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,23,La Cisterna,enero,2018
OTRAS RESPIRATORIAS,17,La Cisterna,enero,2018
CARDIOVASCULAR,280,La Cisterna,enero,2018
IRA ALTA,1.753,La Florida,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,146,La Florida,enero,2018
NEUMONÍA,177,La Florida,enero,2018
ASMA,78,La Florida,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,54,La Florida,enero,2018
OTRAS RESPIRATORIAS,599,La Florida,enero,2018
CARDIOVASCULAR,94,La Florida,enero,2018
IRA ALTA,347,La Granja,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,109,La Granja,enero,2018
NEUMONÍA,64,La Granja,enero,2018
ASMA,82,La Granja,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,34,La Granja,enero,2018
OTRAS RESPIRATORIAS,177,La Granja,enero,2018
CARDIOVASCULAR,18,La Granja,enero,2018
IRA ALTA,717,La Pintana,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,125,La Pintana,enero,2018
NEUMONÍA,93,La Pintana,enero,2018
ASMA,37,La Pintana,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,43,La Pintana,enero,2018
OTRAS RESPIRATORIAS,226,La Pintana,enero,2018
CARDIOVASCULAR,30,La Pintana,enero,2018
IRA ALTA,28,La Reina,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,2,La Reina,enero,2018
NEUMONÍA,4,La Reina,enero,2018
ASMA,22,La Reina,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,La Reina,enero,2018
OTRAS RESPIRATORIAS,62,La Reina,enero,2018
CARDIOVASCULAR,0,La Reina,enero,2018
IRA ALTA,217,Las Condes,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,28,Las Condes,enero,2018
NEUMONÍA,31,Las Condes,enero,2018
ASMA,35,Las Condes,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,16,Las Condes,enero,2018
OTRAS RESPIRATORIAS,130,Las Condes,enero,2018
CARDIOVASCULAR,159,Las Condes,enero,2018
IRA ALTA,225,Lo Barnechea,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,68,Lo Barnechea,enero,2018
NEUMONÍA,23,Lo Barnechea,enero,2018
ASMA,36,Lo Barnechea,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,19,Lo Barnechea,enero,2018
OTRAS RESPIRATORIAS,16,Lo Barnechea,enero,2018
CARDIOVASCULAR,0,Lo Barnechea,enero,2018
IRA ALTA,219,Lo Espejo,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,58,Lo Espejo,enero,2018
NEUMONÍA,35,Lo Espejo,enero,2018
ASMA,26,Lo Espejo,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,19,Lo Espejo,enero,2018
OTRAS RESPIRATORIAS,59,Lo Espejo,enero,2018
CARDIOVASCULAR,111,Lo Espejo,enero,2018
IRA ALTA,348,Lo Prado,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,21,Lo Prado,enero,2018
NEUMONÍA,23,Lo Prado,enero,2018
ASMA,4,Lo Prado,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Lo Prado,enero,2018
OTRAS RESPIRATORIAS,191,Lo Prado,enero,2018
CARDIOVASCULAR,0,Lo Prado,enero,2018
IRA ALTA,49,Macul,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,26,Macul,enero,2018
NEUMONÍA,5,Macul,enero,2018
ASMA,32,Macul,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,12,Macul,enero,2018
OTRAS RESPIRATORIAS,69,Macul,enero,2018
CARDIOVASCULAR,0,Macul,enero,2018
IRA ALTA,479,Maipú,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,79,Maipú,enero,2018
NEUMONÍA,53,Maipú,enero,2018
ASMA,127,Maipú,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,35,Maipú,enero,2018
OTRAS RESPIRATORIAS,370,Maipú,enero,2018
CARDIOVASCULAR,405,Maipú,enero,2018
IRA ALTA,215,Ñuñoa,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,13,Ñuñoa,enero,2018
NEUMONÍA,19,Ñuñoa,enero,2018
ASMA,26,Ñuñoa,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,Ñuñoa,enero,2018
OTRAS RESPIRATORIAS,104,Ñuñoa,enero,2018
CARDIOVASCULAR,0,Ñuñoa,enero,2018
IRA ALTA,113,Pedro Aguirre Cerda,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,56,Pedro Aguirre Cerda,enero,2018
NEUMONÍA,27,Pedro Aguirre Cerda,enero,2018
ASMA,24,Pedro Aguirre Cerda,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Pedro Aguirre Cerda,enero,2018
OTRAS RESPIRATORIAS,142,Pedro Aguirre Cerda,enero,2018
CARDIOVASCULAR,27,Pedro Aguirre Cerda,enero,2018
IRA ALTA,1.604,Peñalolén,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,632,Peñalolén,enero,2018
NEUMONÍA,175,Peñalolén,enero,2018
ASMA,464,Peñalolén,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,158,Peñalolén,enero,2018
OTRAS RESPIRATORIAS,444,Peñalolén,enero,2018
CARDIOVASCULAR,216,Peñalolén,enero,2018
IRA ALTA,42,Providencia,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,2,Providencia,enero,2018
NEUMONÍA,6,Providencia,enero,2018
ASMA,13,Providencia,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Providencia,enero,2018
OTRAS RESPIRATORIAS,71,Providencia,enero,2018
CARDIOVASCULAR,0,Providencia,enero,2018
IRA ALTA,644,Pudahuel,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,181,Pudahuel,enero,2018
NEUMONÍA,117,Pudahuel,enero,2018
ASMA,23,Pudahuel,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,15,Pudahuel,enero,2018
OTRAS RESPIRATORIAS,360,Pudahuel,enero,2018
CARDIOVASCULAR,146,Pudahuel,enero,2018
IRA ALTA,1.137,Quilicura,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,225,Quilicura,enero,2018
NEUMONÍA,33,Quilicura,enero,2018
ASMA,74,Quilicura,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,37,Quilicura,enero,2018
OTRAS RESPIRATORIAS,139,Quilicura,enero,2018
CARDIOVASCULAR,9,Quilicura,enero,2018
IRA ALTA,367,Quinta Normal,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,32,Quinta Normal,enero,2018
NEUMONÍA,53,Quinta Normal,enero,2018
ASMA,15,Quinta Normal,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,Quinta Normal,enero,2018
OTRAS RESPIRATORIAS,215,Quinta Normal,enero,2018
CARDIOVASCULAR,0,Quinta Normal,enero,2018
IRA ALTA,316,Recoleta,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,44,Recoleta,enero,2018
NEUMONÍA,37,Recoleta,enero,2018
ASMA,44,Recoleta,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,18,Recoleta,enero,2018
OTRAS RESPIRATORIAS,146,Recoleta,enero,2018
CARDIOVASCULAR,0,Recoleta,enero,2018
IRA ALTA,445,Renca,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,38,Renca,enero,2018
NEUMONÍA,40,Renca,enero,2018
ASMA,14,Renca,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,16,Renca,enero,2018
OTRAS RESPIRATORIAS,136,Renca,enero,2018
CARDIOVASCULAR,152,Renca,enero,2018
IRA ALTA,216,San Joaquín,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,30,San Joaquín,enero,2018
NEUMONÍA,13,San Joaquín,enero,2018
ASMA,35,San Joaquín,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,22,San Joaquín,enero,2018
OTRAS RESPIRATORIAS,118,San Joaquín,enero,2018
CARDIOVASCULAR,0,San Joaquín,enero,2018
IRA ALTA,27,San Miguel,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,16,San Miguel,enero,2018
NEUMONÍA,6,San Miguel,enero,2018
ASMA,26,San Miguel,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,25,San Miguel,enero,2018
OTRAS RESPIRATORIAS,83,San Miguel,enero,2018
CARDIOVASCULAR,0,San Miguel,enero,2018
IRA ALTA,91,San Ramón,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,25,San Ramón,enero,2018
NEUMONÍA,9,San Ramón,enero,2018
ASMA,4,San Ramón,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,San Ramón,enero,2018
OTRAS RESPIRATORIAS,51,San Ramón,enero,2018
CARDIOVASCULAR,34,San Ramón,enero,2018
IRA ALTA,0,Vitacura,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,0,Vitacura,enero,2018
NEUMONÍA,0,Vitacura,enero,2018
ASMA,0,Vitacura,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Vitacura,enero,2018
OTRAS RESPIRATORIAS,1,Vitacura,enero,2018
CARDIOVASCULAR,0,Vitacura,enero,2018
IRA ALTA,1.641,Puente Alto,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,631,Puente Alto,enero,2018
NEUMONÍA,194,Puente Alto,enero,2018
ASMA,201,Puente Alto,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,78,Puente Alto,enero,2018
OTRAS RESPIRATORIAS,979,Puente Alto,enero,2018
CARDIOVASCULAR,0,Puente Alto,enero,2018
IRA ALTA,124,Pirque,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,11,Pirque,enero,2018
NEUMONÍA,34,Pirque,enero,2018
ASMA,6,Pirque,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Pirque,enero,2018
OTRAS RESPIRATORIAS,45,Pirque,enero,2018
CARDIOVASCULAR,0,Pirque,enero,2018
IRA ALTA,71,San José De Maipo,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,15,San José De Maipo,enero,2018
NEUMONÍA,6,San José De Maipo,enero,2018
ASMA,10,San José De Maipo,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,San José De Maipo,enero,2018
OTRAS RESPIRATORIAS,44,San José De Maipo,enero,2018
CARDIOVASCULAR,0,San José De Maipo,enero,2018
IRA ALTA,139,Colina,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,33,Colina,enero,2018
NEUMONÍA,8,Colina,enero,2018
ASMA,6,Colina,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Colina,enero,2018
OTRAS RESPIRATORIAS,65,Colina,enero,2018
CARDIOVASCULAR,0,Colina,enero,2018
IRA ALTA,510,Lampa,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,109,Lampa,enero,2018
NEUMONÍA,24,Lampa,enero,2018
ASMA,33,Lampa,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,38,Lampa,enero,2018
OTRAS RESPIRATORIAS,1.536,Lampa,enero,2018
CARDIOVASCULAR,102,Lampa,enero,2018
IRA ALTA,67,Tiltil,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,17,Tiltil,enero,2018
NEUMONÍA,9,Tiltil,enero,2018
ASMA,8,Tiltil,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Tiltil,enero,2018
OTRAS RESPIRATORIAS,38,Tiltil,enero,2018
CARDIOVASCULAR,23,Tiltil,enero,2018
IRA ALTA,1.062,San Bernardo,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,159,San Bernardo,enero,2018
NEUMONÍA,90,San Bernardo,enero,2018
ASMA,59,San Bernardo,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,51,San Bernardo,enero,2018
OTRAS RESPIRATORIAS,302,San Bernardo,enero,2018
CARDIOVASCULAR,175,San Bernardo,enero,2018
IRA ALTA,297,Buin,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,92,Buin,enero,2018
NEUMONÍA,49,Buin,enero,2018
ASMA,55,Buin,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,39,Buin,enero,2018
OTRAS RESPIRATORIAS,102,Buin,enero,2018
CARDIOVASCULAR,0,Buin,enero,2018
IRA ALTA,150,Calera De Tango,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,7,Calera De Tango,enero,2018
NEUMONÍA,1,Calera De Tango,enero,2018
ASMA,6,Calera De Tango,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Calera De Tango,enero,2018
OTRAS RESPIRATORIAS,24,Calera De Tango,enero,2018
CARDIOVASCULAR,74,Calera De Tango,enero,2018
IRA ALTA,474,Paine,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,42,Paine,enero,2018
NEUMONÍA,30,Paine,enero,2018
ASMA,31,Paine,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,35,Paine,enero,2018
OTRAS RESPIRATORIAS,121,Paine,enero,2018
CARDIOVASCULAR,37,Paine,enero,2018
IRA ALTA,499,Melipilla,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,42,Melipilla,enero,2018
NEUMONÍA,34,Melipilla,enero,2018
ASMA,18,Melipilla,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Melipilla,enero,2018
OTRAS RESPIRATORIAS,128,Melipilla,enero,2018
CARDIOVASCULAR,0,Melipilla,enero,2018
IRA ALTA,28,Alhué,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,6,Alhué,enero,2018
NEUMONÍA,2,Alhué,enero,2018
ASMA,6,Alhué,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,11,Alhué,enero,2018
OTRAS RESPIRATORIAS,10,Alhué,enero,2018
CARDIOVASCULAR,1,Alhué,enero,2018
IRA ALTA,0,Curacaví,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,0,Curacaví,enero,2018
NEUMONÍA,0,Curacaví,enero,2018
ASMA,0,Curacaví,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Curacaví,enero,2018
OTRAS RESPIRATORIAS,0,Curacaví,enero,2018
CARDIOVASCULAR,0,Curacaví,enero,2018
IRA ALTA,125,María Pinto,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,16,María Pinto,enero,2018
NEUMONÍA,19,María Pinto,enero,2018
ASMA,26,María Pinto,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,María Pinto,enero,2018
OTRAS RESPIRATORIAS,66,María Pinto,enero,2018
CARDIOVASCULAR,24,María Pinto,enero,2018
IRA ALTA,18,San Pedro,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,2,San Pedro,enero,2018
NEUMONÍA,0,San Pedro,enero,2018
ASMA,5,San Pedro,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,3,San Pedro,enero,2018
OTRAS RESPIRATORIAS,4,San Pedro,enero,2018
CARDIOVASCULAR,0,San Pedro,enero,2018
IRA ALTA,74,Talagante,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,5,Talagante,enero,2018
NEUMONÍA,0,Talagante,enero,2018
ASMA,8,Talagante,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,0,Talagante,enero,2018
OTRAS RESPIRATORIAS,41,Talagante,enero,2018
CARDIOVASCULAR,0,Talagante,enero,2018
IRA ALTA,45,El Monte,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,4,El Monte,enero,2018
NEUMONÍA,3,El Monte,enero,2018
ASMA,3,El Monte,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,El Monte,enero,2018
OTRAS RESPIRATORIAS,3,El Monte,enero,2018
CARDIOVASCULAR,0,El Monte,enero,2018
IRA ALTA,23,Isla De Maipo,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,12,Isla De Maipo,enero,2018
NEUMONÍA,2,Isla De Maipo,enero,2018
ASMA,5,Isla De Maipo,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Isla De Maipo,enero,2018
OTRAS RESPIRATORIAS,14,Isla De Maipo,enero,2018
CARDIOVASCULAR,0,Isla De Maipo,enero,2018
IRA ALTA,172,Padre Hurtado,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,7,Padre Hurtado,enero,2018
NEUMONÍA,2,Padre Hurtado,enero,2018
ASMA,12,Padre Hurtado,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,3,Padre Hurtado,enero,2018
OTRAS RESPIRATORIAS,88,Padre Hurtado,enero,2018
CARDIOVASCULAR,0,Padre Hurtado,enero,2018
IRA ALTA,1.386,Peñaflor,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,76,Peñaflor,enero,2018
NEUMONÍA,15,Peñaflor,enero,2018
ASMA,11,Peñaflor,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Peñaflor,enero,2018
OTRAS RESPIRATORIAS,370,Peñaflor,enero,2018
CARDIOVASCULAR,1,Peñaflor,enero,2018
IRA ALTA,257,Santiago,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,48,Santiago,febrero,2018
NEUMONÍA,23,Santiago,febrero,2018
ASMA,32,Santiago,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,12,Santiago,febrero,2018
OTRAS RESPIRATORIAS,118,Santiago,febrero,2018
CARDIOVASCULAR,0,Santiago,febrero,2018
IRA ALTA,148,Cerrillos,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,23,Cerrillos,febrero,2018
NEUMONÍA,10,Cerrillos,febrero,2018
ASMA,13,Cerrillos,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,8,Cerrillos,febrero,2018
OTRAS RESPIRATORIAS,112,Cerrillos,febrero,2018
CARDIOVASCULAR,0,Cerrillos,febrero,2018
IRA ALTA,514,Cerro Navia,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,150,Cerro Navia,febrero,2018
NEUMONÍA,31,Cerro Navia,febrero,2018
ASMA,117,Cerro Navia,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,40,Cerro Navia,febrero,2018
OTRAS RESPIRATORIAS,70,Cerro Navia,febrero,2018
CARDIOVASCULAR,1.160,Cerro Navia,febrero,2018
IRA ALTA,442,Conchalí,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,64,Conchalí,febrero,2018
NEUMONÍA,25,Conchalí,febrero,2018
ASMA,61,Conchalí,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,14,Conchalí,febrero,2018
OTRAS RESPIRATORIAS,163,Conchalí,febrero,2018
CARDIOVASCULAR,17,Conchalí,febrero,2018
IRA ALTA,976,El Bosque,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,71,El Bosque,febrero,2018
NEUMONÍA,68,El Bosque,febrero,2018
ASMA,52,El Bosque,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,73,El Bosque,febrero,2018
OTRAS RESPIRATORIAS,253,El Bosque,febrero,2018
CARDIOVASCULAR,530,El Bosque,febrero,2018
IRA ALTA,83,Estación Central,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,47,Estación Central,febrero,2018
NEUMONÍA,2,Estación Central,febrero,2018
ASMA,8,Estación Central,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,11,Estación Central,febrero,2018
OTRAS RESPIRATORIAS,74,Estación Central,febrero,2018
CARDIOVASCULAR,0,Estación Central,febrero,2018
IRA ALTA,282,Huechuraba,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,27,Huechuraba,febrero,2018
NEUMONÍA,40,Huechuraba,febrero,2018
ASMA,21,Huechuraba,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,15,Huechuraba,febrero,2018
OTRAS RESPIRATORIAS,61,Huechuraba,febrero,2018
CARDIOVASCULAR,55,Huechuraba,febrero,2018
IRA ALTA,226,Independencia,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,19,Independencia,febrero,2018
NEUMONÍA,3,Independencia,febrero,2018
ASMA,2,Independencia,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,5,Independencia,febrero,2018
OTRAS RESPIRATORIAS,154,Independencia,febrero,2018
CARDIOVASCULAR,99,Independencia,febrero,2018
IRA ALTA,163,La Cisterna,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,16,La Cisterna,febrero,2018
NEUMONÍA,19,La Cisterna,febrero,2018
ASMA,21,La Cisterna,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,La Cisterna,febrero,2018
OTRAS RESPIRATORIAS,22,La Cisterna,febrero,2018
CARDIOVASCULAR,337,La Cisterna,febrero,2018
IRA ALTA,1.576,La Florida,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,68,La Florida,febrero,2018
NEUMONÍA,149,La Florida,febrero,2018
ASMA,69,La Florida,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,36,La Florida,febrero,2018
OTRAS RESPIRATORIAS,395,La Florida,febrero,2018
CARDIOVASCULAR,100,La Florida,febrero,2018
IRA ALTA,237,La Granja,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,75,La Granja,febrero,2018
NEUMONÍA,30,La Granja,febrero,2018
ASMA,36,La Granja,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,La Granja,febrero,2018
OTRAS RESPIRATORIAS,151,La Granja,febrero,2018
CARDIOVASCULAR,0,La Granja,febrero,2018
IRA ALTA,717,La Pintana,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,101,La Pintana,febrero,2018
NEUMONÍA,67,La Pintana,febrero,2018
ASMA,37,La Pintana,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,15,La Pintana,febrero,2018
OTRAS RESPIRATORIAS,169,La Pintana,febrero,2018
CARDIOVASCULAR,0,La Pintana,febrero,2018
IRA ALTA,30,La Reina,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,0,La Reina,febrero,2018
NEUMONÍA,4,La Reina,febrero,2018
ASMA,14,La Reina,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,5,La Reina,febrero,2018
OTRAS RESPIRATORIAS,90,La Reina,febrero,2018
CARDIOVASCULAR,0,La Reina,febrero,2018
IRA ALTA,252,Las Condes,febrero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,15,Las Condes,febrero,2018
NEUMONÍA,10,Las Condes,febrero,2018
ASMA,38,Las Condes,febrero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,20,Las Condes,febrero,2018
OTRAS RESPIRATORIAS,133,Las Condes,febrero,2018
CARDIOVASCULAR,175,Las Condes,febrero,2018
IRA ALTA,146,Lo Barnechea,febrero,2018
